Team,Round Elim,APG,FG%,FT%,RPG,PPG,3PG,3FG%,TOPG,BKPG,RPG,OPP FG%,OPP PPG,STPG,Pct,Avg,Ratio,Fouls,TO,REB MAR,Pct
Illinois St.,0,13.8,43.9,66.4,10.54,69.1,8.4,36.9,12.2,4.9,26.4,37.9,61.3,7.1,32.8,12.77,1.13,620,427,2.5,80
UT Arlington,0,15.8,46.1,68.1,11.94,78.3,8.6,33.7,13.1,2.3,26.72,41.2,69.9,7.4,31.8,14.56,1.21,691,471,3.4,75
Oklahoma St.,1,14.7,46.7,78.9,13.76,85.7,8.9,40.2,13.1,3,23.06,47.1,78.5,7.6,36.7,14.94,1.13,731,432,4,60.6
Vanderbilt,1,12.9,43,77.7,8.17,71.1,9.9,37.6,12.3,3.8,26.34,42.5,68.1,4.2,33.7,10.83,1.05,581,430,0,54.3
Wake Forest,0,15.5,47.2,77.8,10.58,82.8,8.1,38.5,11.8,3.7,25.7,45.7,78.4,5.5,35.8,11.64,1.32,668,389,2.6,57.6
Miami (FL),1,11.8,45.2,71.8,11,69,6.3,35.6,12.6,3.8,24.64,41.9,64.1,6.5,33,11.88,0.93,515,417,4,63.6
Vermont,1,13.6,49.4,70,9.31,73.5,6.5,36.9,11.2,4.3,24.74,42.3,62.1,5.7,33.4,12.94,1.21,556,392,3.6,82.9
Seton Hall,1,12.2,44.8,64.3,13.3,73.2,6.1,33.8,13.6,2.5,26.45,43.3,70.4,6.9,34.1,12.18,0.9,613,449,6.9,63.6
Michigan St.,2,16.9,47,67,9.37,71.9,7.8,37.3,14,4.6,27.06,41,68.7,4.3,34.6,10.86,1.21,702,490,3.5,57.1
Northwestern,2,15,43.6,74.8,10.72,71.1,7.1,34.2,10.6,4.9,25.5,40.3,65.5,5.3,33.3,11.92,1.41,691,383,0.8,66.7
Princeton,1,14.3,45,73.8,8.23,71.6,9.9,37.8,9.9,3.1,25.17,41.6,61.4,6.7,33.2,13.13,1.44,482,298,-0.1,76.7
Virginia Tech,1,15.1,48.9,73.7,7.27,79.1,8.8,40.3,12.1,2.8,25.03,44.5,74.7,4,36.3,11.61,1.25,543,398,-2.4,66.7
Monmouth,0,12.7,43.7,75.7,11.18,81.2,8.9,37.3,12.5,4.6,27.35,40.7,73.6,6.9,33.4,14.65,1.01,698,425,0.3,79.4
TCU,0,16.9,46.6,68.6,11.62,74.7,7.2,35.4,12.9,4.5,24.38,44.3,69.7,6.6,36.1,13.03,1.31,679,504,3.7,61.5
Kansas St.,1,14.9,46.1,69.4,9.43,72.1,7.1,36.2,12.9,3.7,22.94,43.1,67.8,7.7,38.2,14.94,1.15,630,453,-1.1,60
Georgia,0,12.6,43.9,75.7,9.71,71.6,5.1,32.5,13.1,3.7,27.29,41.1,70.4,5.4,33.5,11.79,0.97,637,444,2.1,55.9
Akron,0,14.4,46.6,68.3,9.92,77,10.2,37.2,11.7,3.3,24.69,44.4,70.8,5.5,36.5,11.53,1.23,654,422,1.6,75
New Mexico St.,1,14.9,46.7,71.2,12.82,78.8,7.4,33.7,13.7,3.8,26.56,41.9,67.9,4.9,29.4,13.71,1.09,628,465,6.3,82.4
ETSU,1,14.7,48.8,70.2,10.2,79.5,7.6,38.2,14.8,4.6,26.06,41.7,69.7,8.4,35.4,15.54,0.99,698,519,4.1,77.1
Belmont,0,16,46.9,76.8,8.47,76.7,10.2,34.2,12.7,2.7,26.8,42.7,69.3,4.4,31.8,11.33,1.27,531,380,2.9,76.7
CSU Bakersfield,0,14.5,43.9,64,12.34,71.5,6.5,35.1,14.8,4,26.23,37.2,63.9,8.2,31.8,16.63,0.98,793,519,3.4,71.4
Illinois,0,13.5,44.5,68.7,9.77,71.7,7.7,36.9,12.4,2.4,25,43.4,69.1,5.6,33.4,12.8,1.09,641,433,1.6,57.1
Providence,0,14.3,44.8,69.1,8.91,70.3,7.2,37.1,12.5,3,24.42,44,66.9,6.6,32.8,13.76,1.14,569,412,-1.3,60.6
Houston,0,12.7,44.7,71.7,11.31,73.7,8.4,39.4,9.8,3.5,24.16,40.8,64.9,5.3,32.9,13.66,1.29,603,315,0.6,65.6
California,0,12,42.2,66.1,11.59,68.1,6.6,34,12.6,4.6,27.32,40,63.4,4.9,32.8,11.15,0.96,656,428,6.7,61.8
UCF,0,11.1,43.5,66.1,10.81,67.1,7.3,35.2,14.6,4,29.97,36.5,61.2,4,31.3,9.75,0.76,548,525,8.2,66.7
Col. of Charleston,0,10.2,43.2,73.6,8.63,69,6.3,32.8,10.4,3.4,25.49,41.9,64.6,5.5,30.8,12.34,0.98,604,364,-1.2,71.4
Bucknell,1,14.6,48,68.1,8.63,76.2,8.2,37.9,13.3,3.8,25.74,42.7,67.9,7.2,34.2,13.89,1.09,655,466,0.8,74.3
Marquette,1,16.4,48.7,78.1,8.75,82.2,10.5,42.9,12.4,3.6,24.34,45.9,75.5,7.2,36.8,13.06,1.33,621,396,-0.5,59.4
Ole Miss,0,13,42.3,75.2,12.72,78,7.9,34.7,14.3,4.2,26.81,42.5,76.3,6.8,36.3,13.92,0.91,703,515,3.2,61.1
Colorado St.,0,11,42.5,73.1,11.39,72.5,7.1,33.9,10.9,3.4,26.78,40.7,68,6.1,31.7,11.61,1.01,619,392,2.7,66.7
Boise St.,0,12.1,45,71.2,9.66,75.1,7.9,34.8,12.8,2.4,25.97,42.7,71.2,5,33.6,11.84,0.95,663,409,1.9,62.5
Winthrop,1,12.8,45.5,71.7,9.58,79.2,9.5,37.3,13,5.1,27.52,40.8,70.4,6.5,31.3,14,0.98,605,430,0.5,78.8
Richmond,0,16.9,47.1,71.3,6.74,74.2,7.7,34.2,11.4,1.9,24.06,44.2,72,6.6,32.1,14.03,1.48,636,399,-5.7,62.9
BYU,0,15.7,45.6,73.3,10.68,80.6,6.8,34.4,13.8,4.6,31.06,41.6,74.2,6.6,32.4,12.24,1.14,657,469,5.6,64.7
Pittsburgh,0,14.3,44.2,73.3,9.48,72.8,8,36.1,12,3.4,25.61,44.9,74.7,3.8,35.6,9.76,1.19,551,396,0.2,48.5
Clemson,0,12.5,44.9,73.1,11.06,74.8,7.2,35.7,10.7,3.9,22.97,45.3,71.5,7.1,35.6,13.67,1.17,501,354,-1.1,51.5
UNC Asheville,0,15.5,47.6,68.1,8.52,77.1,8,39.4,11.6,1.9,25,44.9,68.5,9.3,35.5,16.58,1.33,553,384,-1,69.7
Fresno St.,0,12.6,45.5,67.2,9.52,73.5,6.3,35.2,13.5,3.9,26,41.5,70.2,8.4,33.1,14.7,0.94,719,444,0.7,60.6
Valparaiso,0,12.8,44.4,77.5,10.64,74.7,6.6,32.4,12.9,2.9,27.27,41.4,68.9,6.4,33.1,12.88,0.99,621,425,4.2,72.7
Georgia Tech,0,15.4,43.8,68.2,9.62,67.5,4.6,33.1,13.4,6,26.32,39.8,66.8,6.6,33,13.08,1.15,591,494,-0.4,56.8
Tennessee,0,13.8,42.2,72.9,12.13,74.5,5.9,32.6,12.5,4.6,25.56,42.7,73,5.5,35.6,13.97,1.11,670,399,0.7,50
Indiana,0,14.4,47.9,72.9,12.15,79.7,8.7,38,15.2,4.6,26.85,42.9,73.3,6.1,33.7,11.15,0.94,682,517,7.3,52.9
Alabama,0,11.5,42.4,65.3,12.29,68.5,6.6,31.7,13.9,4.1,26.71,40.5,64.7,5.9,33.3,13.53,0.82,665,474,5.6,55.9
Iowa,0,17.7,45.4,68.8,12,80.5,8.8,37.9,13.9,3.8,26.38,44.5,78.1,7.4,35.8,14.29,1.28,610,472,0.1,55.9
Iona,1,15.5,45.4,76.8,9.63,80.4,9.8,39.7,12,3.1,26.09,43.6,76.8,6.8,36.1,13.17,1.29,669,421,-2.6,62.9
Northern Ky.,0,13.9,45.6,68,11.17,76,8.6,34.9,13.4,2.8,26.51,44,71.6,5.7,32.5,12.2,1.04,623,468,4.4,68.6
Syracuse,0,15.6,45.9,73.8,10.68,76.3,8.8,38.1,12.3,4.7,24.12,43,71.1,8.1,34.2,13.47,1.27,542,418,-1,55.9
New Mexico,0,13.5,46,74.6,8.84,73.6,4.7,32.7,13,3.5,25.71,43.3,72.7,6.1,36.9,13.42,1.04,615,403,0.7,54.8
FGCU,1,15.5,49.9,70.2,11.15,79.4,6.5,34.7,12.4,3.4,26.18,42.5,69.3,6.1,30.6,13,1.25,636,421,5.4,76.5
Davidson,0,15.6,43.7,75.3,8.91,73.8,9.1,34.1,12.2,3.3,27,43.2,71.6,5.1,38.1,11.94,1.28,583,390,-0.6,53.1
Furman,0,15,47.3,69.7,9.06,74,9.1,38.5,12.9,2.3,25.6,42.4,66.3,7,31.2,13.51,1.16,613,451,2.4,65.7
St. Bonaventure,0,13.2,44.3,76.9,11.53,76.8,6.3,34.8,12.5,4.3,24.5,43.2,72.4,7.2,35.3,14.84,1.05,671,401,1.6,62.5
Ohio St.,0,13.6,46.3,68.2,10.13,72.8,6.6,35.6,13.2,3.8,27.13,41.6,69.8,5.2,35.6,12.06,1.03,562,423,2.3,53.1
