Team,APG,FG%,FT%,RPG,PPG,3PG,3FG%,TOPG
Iona,15.5,45.4,76.8,9.63,80.4,9.8,39.7,12.0
Northern Ky.,13.9,45.6,68.0,11.17,76.0,8.6,34.9,13.4
Syracuse,15.6,45.9,73.8,10.68,76.3,8.8,38.1,12.3
New Mexico,13.5,46.0,74.6,8.84,73.6,4.7,32.7,13.0
FGCU,15.5,49.9,70.2,11.15,79.4,6.5,34.7,12.4
Davidson,15.6,43.7,75.3,8.91,73.8,9.1,34.1,12.2
Furman,15.0,47.3,69.7,9.06,74.0,9.1,38.5,12.9
St. Bonaventure,13.2,44.3,76.9,11.53,76.8,6.3,34.8,12.5
Ohio St.,13.6,46.3,68.2,10.13,72.8,6.6,35.6,13.2
Texas A&M;,15.8,45.8,64.9,12.94,70.2,6.1,32.9,14.2
Towson,10.5,44.7,68.2,13.48,74.2,4.7,31.1,12.9
Saint Peter's,12.2,43.6,70.0,8.25,66.0,8.0,38.1,11.1
Utah,14.9,50.4,68.2,10.03,78.5,6.7,35.3,13.5
Lehigh,14.6,47.9,77.2,7.25,76.0,8.4,39.2,14.1
UNCG,15.0,46.4,70.6,11.57,75.1,8.8,38.2,13.5
San Diego St.,10.9,41.6,69.8,10.61,68.5,7.1,31.7,11.7
San Francisco,13.0,44.9,63.6,9.52,71.6,9.1,35.0,12.6
Colorado,13.9,44.6,70.4,11.85,75.5,7.4,34.8,12.1
Oakland,17.0,45.5,76.1,10.38,79.4,7.3,33.5,13.6
Texas Southern,11.7,42.9,73.5,11.46,74.1,5.9,29.5,11.6
Penn St.,13.7,41.4,74.5,10.00,71.7,7.0,33.9,13.0
Stanford,13.6,44.0,68.2,10.19,69.7,5.1,32.0,12.9
Georgia St.,12.1,46.9,64.7,10.12,74.0,7.5,35.7,14.0
Auburn,13.2,43.7,67.2,11.53,80.4,9.0,36.6,13.6
Marshall,16.5,45.6,73.4,9.29,85.6,10.2,37.0,12.4
George Washington,13.3,42.4,74.5,11.26,69.9,7.9,37.1,12.9
North Dakota St.,12.2,45.8,71.1,8.60,74.8,7.7,36.8,11.6
Nebraska,11.4,41.6,71.0,13.26,69.9,5.8,32.0,13.3
William & Mary,17.5,49.1,69.2,8.74,81.7,9.1,38.2,12.5
Arkansas St.,12.4,46.1,63.8,11.00,73.3,6.9,38.0,12.9
Louisiana,14.3,46.7,69.5,13.39,81.9,7.0,34.3,13.3
Georgetown,15.0,46.1,73.2,9.53,74.0,6.4,34.9,14.2
Louisiana Tech,16.5,46.7,70.9,10.15,77.5,7.8,36.1,12.3
